title,masthead_img_sm,masthead_img
1898,argonaut1898_sm.jpg,argonaut1898.jpg
1899,argonaut1899_sm.jpg,argonaut1899.jpg
1900,argonaut1900_sm.jpg,argonaut1900.jpg
1901,argonaut1901_sm.jpg,argonaut1901.jpg
1902,argonaut1902_sm.jpg,argonaut1902.jpg
1903,argonaut1903_sm.jpg,argonaut1903.jpg
1904,argonaut1904_sm.jpg,argonaut1904.jpg
1905,argonaut1905_sm.jpg,argonaut1905.jpg
1906,argonaut1906_sm.jpg,argonaut1906.jpg
1907,argonaut1907_sm.jpg,argonaut1907.jpg
1908,argonaut1908_sm.jpg,argonaut1908.jpg
1909,argonaut1909_sm.jpg,argonaut1909.jpg
1910,argonaut1910_sm.jpg,argonaut1910.jpg
1911,argonaut1911_sm.jpg,argonaut1911.jpg
1912,argonaut1912_sm.jpg,argonaut1912.jpg
1913,argonaut1913_sm.jpg,argonaut1913.jpg
1914,argonaut1914_sm.jpg,argonaut1914.jpg
1915,argonaut1915_sm.jpg,argonaut1915.jpg
1916,argonaut1916_sm.jpg,argonaut1916.jpg
1917,argonaut1917_sm.jpg,argonaut1917.jpg
1918,argonaut1918_sm.jpg,argonaut1918.jpg
1919,argonaut1919_sm.jpg,argonaut1919.jpg
1920,argonaut1920_sm.jpg,argonaut1920.jpg
1921,argonaut1921_sm.jpg,argonaut1921.jpg
1922,argonaut1922_sm.jpg,argonaut1922.jpg
1923,argonaut1923_sm.jpg,argonaut1923.jpg
1924,argonaut1924_sm.jpg,argonaut1924.jpg
1925,argonaut1925_sm.jpg,argonaut1925.jpg
1926,argonaut1926_sm.jpg,argonaut1926.jpg
1927,argonaut1927_sm.jpg,argonaut1927.jpg
1928,argonaut1928_sm.jpg,argonaut1928.jpg
1929,argonaut1929_sm.jpg,argonaut1929.jpg
1930,argonaut1930_sm.jpg,argonaut1930.jpg
1931,argonaut1931_sm.jpg,argonaut1931.jpg
1932,argonaut1932_sm.jpg,argonaut1932.jpg
1933,argonaut1933_sm.jpg,argonaut1933.jpg
1934,argonaut1934_sm.jpg,argonaut1934.jpg
1935,argonaut1935_sm.jpg,argonaut1935.jpg
1936,argonaut1936_sm.jpg,argonaut1936.jpg
1937,argonaut1937_sm.jpg,argonaut1937.jpg
1938,argonaut1938_sm.jpg,argonaut1938.jpg
1939,argonaut1939_sm.jpg,argonaut1939.jpg
1940,argonaut1940_sm.jpg,argonaut1940.jpg
1941,argonaut1941_sm.jpg,argonaut1941.jpg
1942,argonaut1942_sm.jpg,argonaut1942.jpg
1943,argonaut1943_sm.jpg,argonaut1943.jpg
1944,argonaut1944_sm.jpg,argonaut1944.jpg
1945,argonaut1945_sm.jpg,argonaut1945.jpg
1946,argonaut1946_sm.jpg,argonaut1946.jpg
1947,argonaut1947_sm.jpg,argonaut1947.jpg
1948,argonaut1948_sm.jpg,argonaut1948.jpg
1949,argonaut1949_sm.jpg,argonaut1949.jpg
1950,argonaut1950_sm.jpg,argonaut1950.jpg
1951,argonaut1951_sm.jpg,argonaut1951.jpg
1952,argonaut1952_sm.jpg,argonaut1952.jpg
1953,argonaut1953_sm.jpg,argonaut1953.jpg
1954,argonaut1954_sm.jpg,argonaut1954.jpg
1955,argonaut1955_sm.jpg,argonaut1955.jpg
1956,argonaut1956_sm.jpg,argonaut1956.jpg
1957,argonaut1957_sm.jpg,argonaut1957.jpg
1958,argonaut1958_sm.jpg,argonaut1958.jpg
1959,argonaut1959_sm.jpg,argonaut1959.jpg
1960,argonaut1960_sm.jpg,argonaut1960.jpg
1961,argonaut1961_sm.jpg,argonaut1961.jpg
1962,argonaut1962_sm.jpg,argonaut1962.jpg
1963,argonaut1963_sm.jpg,argonaut1963.jpg
1964,argonaut1964_sm.jpg,argonaut1964.jpg
1965,argonaut1965_sm.jpg,argonaut1965.jpg
1966,argonaut1966_sm.jpg,argonaut1966.jpg
1967,argonaut1967_sm.jpg,argonaut1967.jpg
1968,argonaut1968_sm.jpg,argonaut1968.jpg
1969,argonaut1969_sm.jpg,argonaut1969.jpg
1970,argonaut1970_sm.jpg,argonaut1970.jpg
1971,argonaut1971_sm.jpg,argonaut1971.jpg
1972,argonaut1972_sm.jpg,argonaut1972.jpg
1973,argonaut1973_sm.jpg,argonaut1973.jpg
1974,argonaut1974_sm.jpg,argonaut1974.jpg
1975,argonaut1975_sm.jpg,argonaut1975.jpg
1976,argonaut1976_sm.jpg,argonaut1976.jpg
1977,argonaut1977_sm.jpg,argonaut1977.jpg
1978,argonaut1978_sm.jpg,argonaut1978.jpg
1979,argonaut1979_sm.jpg,argonaut1979.jpg
1980,argonaut1980_sm.jpg,argonaut1980.jpg
1981,argonaut1981_sm.jpg,argonaut1981.jpg
1982,argonaut1982_sm.jpg,argonaut1982.jpg
1983,argonaut1983_sm.jpg,argonaut1983.jpg
1984,argonaut1984_sm.jpg,argonaut1984.jpg
1985,argonaut1985_sm.jpg,argonaut1985.jpg
1986,argonaut1986_sm.jpg,argonaut1986.jpg
1987,argonaut1987_sm.jpg,argonaut1987.jpg
1988,argonaut1988_sm.jpg,argonaut1988.jpg
1989,argonaut1989_sm.jpg,argonaut1989.jpg
1990,argonaut1990_sm.jpg,argonaut1990.jpg
1991,argonaut1991_sm.jpg,argonaut1991.jpg
1992,argonaut1992_sm.jpg,argonaut1992.jpg
1993,argonaut1993_sm.jpg,argonaut1993.jpg
1994,argonaut1994_sm.jpg,argonaut1994.jpg
1995,argonaut1995_sm.jpg,argonaut1995.jpg
1996,argonaut1996_sm.jpg,argonaut1996.jpg
1997,argonaut1997_sm.jpg,argonaut1997.jpg
1998,argonaut1998_sm.jpg,argonaut1998.jpg
1999,argonaut1999_sm.jpg,argonaut1999.jpg
2000,argonaut2000_sm.jpg,argonaut2000.jpg
2001,argonaut2001_sm.jpg,argonaut2001.jpg
2002,argonaut2002_sm.jpg,argonaut2002.jpg
2003,argonaut2003_sm.jpg,argonaut2003.jpg
2004,argonaut2004_sm.jpg,argonaut2004.jpg
2005,argonaut2005_sm.jpg,argonaut2005.jpg
2006,argonaut2006_sm.jpg,argonaut2006.jpg
2007,argonaut2007_sm.jpg,argonaut2007.jpg
2008,argonaut2008_sm.jpg,argonaut2008.jpg
2009,argonaut2009_sm.jpg,argonaut2009.jpg
2010,argonaut2010_sm.jpg,argonaut2010.jpg
2011,argonaut2011_sm.jpg,argonaut2011.jpg
2012,argonaut2012_sm.jpg,argonaut2012.jpg
2013,argonaut2012_sm.jpg,argonaut2012.jpg
2014,argonaut2012_sm.jpg,argonaut2012.jpg
2015,argonaut2012_sm.jpg,argonaut2012.jpg
2016,argonaut2016_sm.jpg,argonaut2016.png
2017,argonaut2016_sm.jpg,argonaut2016.png
2018,argonaut2018_sm.jpg,argonaut2018.png
2019,argonaut2018_sm.jpg,argonaut2018.png
2020,argonaut2018_sm.jpg,argonaut2018.png
2021,argonaut2018_sm.jpg,argonaut2018.png
